file_name,user_name,notebook_name,libraries,num_lib
dcdanko_a-journey-through-titanic.html,dcdanko,a-journey-through-titanic,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
umang5916_titanic-data-analysis-logistic-regression.html,umang5916,titanic-data-analysis-logistic-regression,"['pandas', 'numpy', 'sklearn']",3
pcjukaria_titanic-survival.html,pcjukaria,titanic-survival,"['pandas', 'numpy', 'seaborn', 'matplotlib', 'sklearn']",5
hyzyzs_a-journey-through-titanic.html,hyzyzs,a-journey-through-titanic,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
sanjaynandakumar_titanic-survival-analysis-using-logistic-reg.html,sanjaynandakumar,titanic-survival-analysis-using-logistic-reg,"['numpy', 'pandas', 'os', 'collections', 'sklearn', 'matplotlib']",6
ayang98_first-titanic.html,ayang98,first-titanic,"['numpy', 'pandas', 'os', 'sklearn', 'random', 'catboost', 'xgboost']",7
suthirs_titanic-dataset-null-missing-values-treatment.html,suthirs,titanic-dataset-null-missing-values-treatment,"['numpy', 'pandas', 'os']",3
tarunchoubisa_a-journey-through-titanic.html,tarunchoubisa,a-journey-through-titanic,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
souravdas4_prediction-of-survival-in-titanic-disaster.html,souravdas4,prediction-of-survival-in-titanic-disaster,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
asyl21795_asyl-titanic.html,asyl21795,asyl-titanic,"['pandas', 'numpy', 'matplotlib', 'pandas:¶value', 'sklearn']",5
anandrikka_project-titanic.html,anandrikka,project-titanic,"['numpy', 'pandas', 'math', 'os', 'matplotlib', 'seaborn', 'sklearn']",7
astrocyte_cungbuk-univ-2020-comphy2-titanic-tutorial.html,astrocyte,cungbuk-univ-2020-comphy2-titanic-tutorial,"['numpy', 'pandas', 'os', 'sklearn']",4
eeshwarib_titanic-data-analysis-1.html,eeshwarib,titanic-data-analysis-1,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'sklearn']",6
zgh19971022_logisticregression-titanic.html,zgh19971022,logisticregression-titanic,"['numpy', 'pandas', 'matplotlib', 'sklearn']",4
vardos_leaning-titanic.html,vardos,leaning-titanic,['sample'],1
kerneler_starter-titanic-07c21d6b-d.html,kerneler,starter-titanic-07c21d6b-d,"['libraries', 'mpl_toolkits', 'sklearn', 'matplotlib', 'numpy', 'os', 'pandas']",7
mikeaalv_titanic-competition.html,mikeaalv,titanic-competition,"['numpy', 'pandas', 'xgboost', 'sklearn', 'os']",5
tkayyang_titanic-practice.html,tkayyang,titanic-practice,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'missingno', 'warnings', 'sklearn']",7
tetsuyazama_titanic-example-for-nst.html,tetsuyazama,titanic-example-for-nst,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'warnings', 'sklearn']",7
fernandot44_starter-titanic-0ff4440a-2.html,fernandot44,starter-titanic-0ff4440a-2,"['libraries', 'mpl_toolkits', 'sklearn', 'matplotlib', 'numpy', 'os', 'pandas']",7
myndel_titanic-machine-learning-from-disaster.html,myndel,titanic-machine-learning-from-disaster,"['numpy', 'pandas', 'sklearn']",3
g9jiggy_titanic-solution-an-approach-from-a-beginner-s.html,g9jiggy,titanic-solution-an-approach-from-a-beginner-s,"['pandas', 'numpy', 'seaborn', 'matplotlib', 'warnings', 'os', 'sklearn']",7
satyamkr1729_titanic-dataset.html,satyamkr1729,titanic-dataset,"['numpy', 'pandas', 'seaborn', 'matplotlib', 'sklearn', 'xgboost']",6
keenank_titanic-data-science.html,keenank,titanic-data-science,"['numpy', 'pandas', 'seaborn', 'matplotlib', 'sklearn']",5
srksiva20_titanic-competetion.html,srksiva20,titanic-competetion,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'sklearn', 'os']",6
ssandorov_titanic-competition.html,ssandorov,titanic-competition,"['numpy', 'pandas', 'os', 'sklearn']",4
varun0727_titanic-machine-learning-from-disaster.html,varun0727,titanic-machine-learning-from-disaster,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'sklearn']",6
noogakl81_titanic-script.html,noogakl81,titanic-script,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
thelazydatascientist_titanic.html,thelazydatascientist,titanic,"['numpy', 'pandas', 'data', 'matplotlib', 'seaborn', 'sklearn', 'catboost', 'os', 'xgboost', 'lightgbm']",10
mantej_titanic-waley-bhaiya.html,mantej,titanic-waley-bhaiya,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'warnings', 'sklearn', 'tpot', 'xgboost']",9
kerneler_starter-survivedtitanic-29986389-6.html,kerneler,starter-survivedtitanic-29986389-6,"['libraries', 'mpl_toolkits', 'sklearn', 'matplotlib', 'numpy', 'os', 'pandas']",7
greeshmagirish_titanic-regression.html,greeshmagirish,titanic-regression,"['pandas', 'numpy', 'sklearn', 'random']",4
mamunalbd4_mamun-titanic.html,mamunalbd4,mamun-titanic,"['numpy', 'pandas', 'os', 'seaborn']",4
youngwancha_notebook-cha-titanic.html,youngwancha,notebook-cha-titanic,"['numpy', 'pandas', 'os', 'seaborn', 'matplotlib', 'sklearn']",6
omrihar_getting-to-know-kaggle-with-the-titanic-data-set.html,omrihar,getting-to-know-kaggle-with-the-titanic-data-set,"['pandas', 'tensorflow', 'sklearn', 'IPython', 'matplotlib']",5
patrikdurdevic_the-titanic-tensorflow-deep-learning-crisp-dm.html,patrikdurdevic,the-titanic-tensorflow-deep-learning-crisp-dm,"['numpy', 'pandas', 'tensorflow', 'matplotlib', 'math', 'seaborn', 'sklearn']",7
penguinwang96825_xgboost-newbie-for-titanic-dataset.html,penguinwang96825,xgboost-newbie-for-titanic-dataset,"['numpy', 'pandas', 'os', 'xgboost', 'sklearn', 'matplotlib']",6
nptumis103035_titanic-data-science-solutions-8954f2.html,nptumis103035,titanic-data-science-solutions-8954f2,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
dannydwkim_titanic-thx-to-ahmed.html,dannydwkim,titanic-thx-to-ahmed,"['numpy', 'pandas', 'os', 'warnings', 'matplotlib', 'seaborn', 'pylab', 'collections', 'sklearn', 'xgboost', 'lightgbm']",11
jandersonff_titanic-xgboost-jj.html,jandersonff,titanic-xgboost-jj,"['pandas', 'numpy', 'matplotlib', 'subprocess', 'xgboost', 'sklearn']",6
ospohngellert_titanic-kernel-79-4-accuracy.html,ospohngellert,titanic-kernel-79-4-accuracy,"['pandas', 'random', 'sklearn', 'numpy', 're', 'matplotlib', 'scipy', 'math', 'train']",9
yananhe_titanic-ml.html,yananhe,titanic-ml,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'sklearn', 'lightgbm']",6
bhavinmoriya_titanic-starts-off.html,bhavinmoriya,titanic-starts-off,"['numpy', 'pandas', 'os', 'sklearn']",4
omkarsabnis_svm-knn-rf-and-dt-implementation-titanic.html,omkarsabnis,svm-knn-rf-and-dt-implementation-titanic,"['warnings', 'pandas', 'numpy', 'seaborn', 'matplotlib', 'sklearn']",6
maimahdi_titanicrf.html,maimahdi,titanicrf,"['numpy', 'pandas', 'os', 'sklearn']",4
akashadesai_eda-predicting-titanic-survivors-using-ml.html,akashadesai,eda-predicting-titanic-survivors-using-ml,"['warnings', 'pandas', 'matplotlib', 'numpy', 'seaborn', 'os', 'sklearn']",7
leapleap_titanic-analysis-heavy-on-the-data-cleaning.html,leapleap,titanic-analysis-heavy-on-the-data-cleaning,"['pandas', 'os', 'matplotlib', 'numpy', 'random', 'seaborn', 'sklearn']",7
gomesbruna_titanic-survival-prediction-1.html,gomesbruna,titanic-survival-prediction-1,"['pandas', 'numpy', 'matplotlib', 'seaborn', 're', 'sklearn']",6
anguscc_a-journey-through-titanic-2268c7.html,anguscc,a-journey-through-titanic-2268c7,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
billlwu_titanic-exploratory.html,billlwu,titanic-exploratory,"['numpy', 'pandas', 'matplotlib', 'sklearn', 'os']",5
kmisiunas_titanic-classification-using-decision-treed.html,kmisiunas,titanic-classification-using-decision-treed,"['numpy', 'pandas', 'subprocess', 'random', 'sklearn', 'IPython', 'name']",7
anupchandratre_titanic-basic-solution-with-logistic-regression.html,anupchandratre,titanic-basic-solution-with-logistic-regression,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'os', 're', 'sklearn']",7
continue7777_titanic-data-science-solutions.html,continue7777,titanic-data-science-solutions,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
atul0204_titanic-using-neural-network.html,atul0204,titanic-using-neural-network,"['numpy', 'pandas', 'tensorflow', 'keras', 'sklearn', 'os']",6
ren666_kaggle-titanic.html,ren666,kaggle-titanic,"['numpy', 'pandas', 'os', 'matplotlib', 'sklearn']",5
